domain	position
LRR	0.499096385542
CC	0.0227817745803
ID	0.962829736211
ID	0.767685851319
ID	0.860911270983
LRR	0.396582733813
NB	0.171163069544
ID	0.843712930012
LRR	0.374851720047
NB	0.182384341637
ID	0.639383155397
CC	0.073546856465
ID	0.858092259578
NB	0.283815480844
LRR	0.567240031274
NB	0.334566240753
ID	0.877269670477
ID	0.908876933423
LRR	0.573638197714
LRR	0.403225806452
LRR	0.282842449743
ID	0.777933613838
ID	0.598410472183
ID	0.937821411875
NB	0.152173913043
CC	0.820243104254
CC	0.0205703599813
CC	0.112104539202
ID	0.872764786795
NB	0.325309491059
LRR	0.577372764787
NB	0.291064981949
ID	0.950812274368
LRR	0.647111913357
LRR	0.811371841155
NB	0.360869565217
ID	0.829891304348
ID	0.947554347826
ID	0.0494565217391
ID	0.0211956521739
LRR	0.566847826087
LRR	0.702247191011
LRR	0.672284644195
LRR	0.894194756554
ID	0.104400749064
LRR	0.72425093633
NB	0.427434456929
LRR	0.680243445693
LRR	0.697097378277
CC	0.261235955056
ID	0.23959778086
ID	0.102288488211
NB	0.574549237171
LRR	0.828710124827
NB	0.249588138386
ID	0.0881383855025
LRR	0.460735859418
LRR	0.887699066447
LRR	0.750411861614
LRR	0.616694124108
NB	0.548314606742
CC	0.404494382022
CC	0.498501872659
ID	0.205617977528
LRR	0.822097378277
ID	0.0711610486891
LRR	0.714670981661
CC	0.145631067961
CC	0.885652642934
NB	0.364617044229
ID	0.940668824164
ID	0.0727773406766
ID	0.0314712824548
NB	0.499606608969
LRR	0.791896144768
LRR	0.587267525036
LRR	0.412374821173
NB	0.261444921316
NB	0.174535050072
ID	0.885193133047
LRR	0.675813953488
NB	0.274418604651
CC	0.0855813953488
ID	0.948837209302
NB	0.248057713651
CC	0.140399556049
LRR	0.676470588235
LRR	0.560210876804
LRR	0.418423973363
ID	0.092397336293
CC	0.951720310766
LRR	0.903163152053
LRR	0.71370582617
NB	0.593839541547
NB	0.155205348615
LRR	0.909503342884
ID	0.505730659026
CC	0.0272206303725
LRR	0.297277936963
LRR	0.828080229226
LRR	0.725405921681
LRR	0.665711556829
LRR	0.249283667622
LRR	0.340974212034
LRR	0.548686244204
ID	0.79714064915
NB	0.260432766615
NB	0.25137470542
LRR	0.544776119403
CC	0.0369206598586
ID	0.940298507463
LRR	0.825867052023
NB	0.554552023121
ID	0.104768786127
CC	0.529492455418
NB	0.620027434842
ID	0.0898491083676
NB	0.511837655017
ID	0.180947012401
CC	0.0586245772266
LRR	0.845546786922
NB	0.596864111498
LRR	0.813588850174
LRR	0.933449477352
CC	0.405923344948
ID	0.171080139373
NB	0.123048907388
NB	0.181321540062
CC	0.0608740894901
ID	0.925858480749
ID	0.670395421436
LRR	0.302289281998
NB	0.254686226569
LRR	0.555419722901
CC	0.145069274654
ID	0.940097799511
LRR	0.707459207459
ID	0.212703962704
NB	0.492424242424
ID	0.0973193473193
NB	0.17504898759
NB	0.347485303723
LRR	0.543762246897
ID	0.91802743305
LRR	0.694317439582
NB	0.562162162162
ID	0.17027027027
LRR	0.881621621622
ID	0.0443069306931
CC	0.654207920792
LRR	0.462128712871
NB	0.256188118812
NB	0.393299344501
ID	0.124544792425
LRR	0.93445010925
LRR	0.797887836854
LRR	0.621995630007
CC	0.219803370787
ID	0.266151685393
LRR	0.827598314607
NB	0.576193820225
ID	0.116221910112
NB	0.346079380445
ID	0.946757018393
LRR	0.650532429816
NB	0.356305995865
LRR	0.584769124742
LRR	0.535837353549
ID	0.109579600276
LRR	0.589593383873
LRR	0.673673328739
LRR	0.783252929014
LRR	0.675051688491
LRR	0.895244658856
LRR	0.657477601654
LRR	0.578781512605
NB	0.331582633053
ID	0.894257703081
NB	0.568181818182
ID	0.265395894428
LRR	0.708944281525
LRR	0.910923753666
LRR	0.79142228739
ID	0.0769794721408
ID	0.167521994135
NB	0.506644518272
ID	0.171096345515
LRR	0.808554817276
LRR	0.735880398671
CC	0.983242753623
LRR	0.655344202899
ID	0.960597826087
LRR	0.628170289855
NB	0.297554347826
LRR	0.6800276434
LRR	0.565307532827
NB	0.208707671044
ID	0.807878369039
LRR	0.701105736006
LRR	0.582930200415
LRR	0.402557014513
CC	0.0331720801659
ID	0.881024096386
ID	0.762048192771
NB	0.455321285141
ID	0.694779116466
ID	0.894694533762
NB	0.237540192926
LRR	0.541800643087
CC	0.0249196141479
NB	0.163515585079
ID	0.471640265713
ID	0.761624936127
LRR	0.647520401758
LRR	0.764595103578
LRR	0.89014438167
LRR	0.651914626491
LRR	0.51381042059
NB	0.346202134338
ID	0.119585687382
LRR	0.579096045198
ID	0.96987534626
LRR	0.922783933518
LRR	0.80228531856
LRR	0.515927977839
NB	0.253462603878
ID	0.132911392405
LRR	0.832278481013
NB	0.536787974684
CC	0.392800632911
ID	0.138071895425
CC	0.408496732026
NB	0.554330065359
LRR	0.85089869281
CC	0.970684039088
LRR	0.286412284784
LRR	0.737087017217
